"Point.id","Lon","Lat","Ran","PETmin","TOPOG"
488,-6454805.54136,2233605.80355,NA,NA,NA
489,-6354805.54136,2233605.80355,NA,NA,NA
490,-6254805.54136,2233605.80355,NA,NA,NA
491,-6154805.54136,2233605.80355,NA,NA,NA
492,-6054805.54136,2233605.80355,NA,NA,NA
493,-5954805.54136,2233605.80355,NA,NA,NA
494,-5854805.54136,2233605.80355,NA,NA,NA
495,-5754805.54136,2233605.80355,NA,NA,NA
496,-5654805.54136,2233605.80355,NA,NA,NA
497,-5554805.54136,2233605.80355,NA,NA,NA
498,-5454805.54136,2233605.80355,NA,NA,NA
499,-5354805.54136,2233605.80355,NA,NA,NA
500,-5254805.54136,2233605.80355,NA,NA,NA
501,-5154805.54136,2233605.80355,NA,NA,NA
502,-5054805.54136,2233605.80355,NA,NA,NA
503,-4954805.54136,2233605.80355,NA,NA,NA
504,-4854805.54136,2233605.80355,NA,NA,NA
505,-10354805.5414,2133605.80355,NA,NA,NA
506,-10254805.5414,2133605.80355,NA,NA,NA
507,-10154805.5414,2133605.80355,NA,NA,NA
508,-10054805.5414,2133605.80355,NA,NA,NA
509,-9954805.54136,2133605.80355,NA,NA,NA
510,-9854805.54136,2133605.80355,NA,NA,NA
524,-8454805.54136,2133605.80355,NA,NA,NA
525,-8354805.54136,2133605.80355,NA,NA,NA
526,-8254805.54136,2133605.80355,NA,NA,NA
527,-8154805.54136,2133605.80355,NA,NA,NA
528,-8054805.54136,2133605.80355,NA,NA,NA
529,-7954805.54136,2133605.80355,NA,NA,NA
530,-7854805.54136,2133605.80355,NA,NA,NA
531,-7754805.54136,2133605.80355,NA,NA,NA
532,-7654805.54136,2133605.80355,NA,NA,NA
533,-7554805.54136,2133605.80355,NA,NA,NA
534,-7454805.54136,2133605.80355,NA,NA,NA
535,-7354805.54136,2133605.80355,NA,NA,NA
536,-7254805.54136,2133605.80355,NA,NA,NA
537,-7154805.54136,2133605.80355,NA,NA,NA
538,-7054805.54136,2133605.80355,NA,NA,NA
539,-6954805.54136,2133605.80355,NA,NA,NA
540,-6854805.54136,2133605.80355,NA,NA,NA
541,-6754805.54136,2133605.80355,NA,NA,NA
542,-6654805.54136,2133605.80355,NA,NA,NA
543,-6554805.54136,2133605.80355,NA,NA,NA
544,-6454805.54136,2133605.80355,NA,NA,NA
545,-6354805.54136,2133605.80355,NA,NA,NA
546,-6254805.54136,2133605.80355,NA,NA,NA
547,-6154805.54136,2133605.80355,NA,NA,NA
548,-6054805.54136,2133605.80355,NA,NA,NA
549,-5954805.54136,2133605.80355,NA,NA,NA
550,-5854805.54136,2133605.80355,NA,NA,NA
551,-5754805.54136,2133605.80355,NA,NA,NA
552,-5654805.54136,2133605.80355,NA,NA,NA
553,-5554805.54136,2133605.80355,NA,NA,NA
554,-5454805.54136,2133605.80355,NA,NA,NA
555,-5354805.54136,2133605.80355,NA,NA,NA
556,-5254805.54136,2133605.80355,NA,NA,NA
557,-5154805.54136,2133605.80355,NA,NA,NA
558,-5054805.54136,2133605.80355,NA,NA,NA
559,-4954805.54136,2133605.80355,NA,NA,NA
560,-4854805.54136,2133605.80355,NA,NA,NA
561,-10354805.5414,2033605.80355,NA,NA,NA
562,-10254805.5414,2033605.80355,NA,NA,NA
563,-10154805.5414,2033605.80355,NA,NA,NA
564,-10054805.5414,2033605.80355,NA,NA,NA
565,-9954805.54136,2033605.80355,NA,NA,NA
566,-9854805.54136,2033605.80355,NA,NA,NA
567,-9754805.54136,2033605.80355,NA,NA,NA
568,-9654805.54136,2033605.80355,NA,NA,NA
569,-9554805.54136,2033605.80355,NA,NA,NA
584,-8054805.54136,2033605.80355,NA,NA,NA
585,-7954805.54136,2033605.80355,NA,NA,NA
586,-7854805.54136,2033605.80355,NA,NA,NA
587,-7754805.54136,2033605.80355,NA,NA,NA
588,-7654805.54136,2033605.80355,NA,NA,NA
589,-7554805.54136,2033605.80355,NA,NA,NA
590,-7454805.54136,2033605.80355,NA,NA,NA
591,-7354805.54136,2033605.80355,NA,NA,NA
592,-7254805.54136,2033605.80355,NA,NA,NA
593,-7154805.54136,2033605.80355,NA,NA,NA
594,-7054805.54136,2033605.80355,NA,NA,NA
595,-6954805.54136,2033605.80355,NA,NA,NA
596,-6854805.54136,2033605.80355,NA,NA,NA
597,-6754805.54136,2033605.80355,NA,NA,NA
598,-6654805.54136,2033605.80355,NA,NA,NA
599,-6554805.54136,2033605.80355,NA,NA,NA
600,-6454805.54136,2033605.80355,NA,NA,NA
601,-6354805.54136,2033605.80355,NA,NA,NA
602,-6254805.54136,2033605.80355,NA,NA,NA
603,-6154805.54136,2033605.80355,NA,NA,NA
604,-6054805.54136,2033605.80355,NA,NA,NA
605,-5954805.54136,2033605.80355,NA,NA,NA
606,-5854805.54136,2033605.80355,NA,NA,NA
607,-5754805.54136,2033605.80355,NA,NA,NA
608,-5654805.54136,2033605.80355,NA,NA,NA
609,-5554805.54136,2033605.80355,NA,NA,NA
610,-5454805.54136,2033605.80355,NA,NA,NA
611,-5354805.54136,2033605.80355,NA,NA,NA
612,-5254805.54136,2033605.80355,NA,NA,NA
613,-5154805.54136,2033605.80355,NA,NA,NA
614,-5054805.54136,2033605.80355,NA,NA,NA
615,-4954805.54136,2033605.80355,NA,NA,NA
616,-4854805.54136,2033605.80355,NA,NA,NA
617,-10354805.5414,1933605.80355,NA,NA,NA
618,-10254805.5414,1933605.80355,NA,NA,NA
619,-10154805.5414,1933605.80355,NA,NA,NA
620,-10054805.5414,1933605.80355,NA,NA,NA
621,-9954805.54136,1933605.80355,NA,NA,NA
622,-9854805.54136,1933605.80355,NA,NA,NA
623,-9754805.54136,1933605.80355,NA,NA,NA
624,-9654805.54136,1933605.80355,NA,NA,NA
625,-9554805.54136,1933605.80355,NA,NA,NA
626,-9454805.54136,1933605.80355,NA,NA,NA
627,-9354805.54136,1933605.80355,NA,NA,NA
628,-9254805.54136,1933605.80355,NA,NA,NA
629,-9154805.54136,1933605.80355,NA,NA,NA
630,-9054805.54136,1933605.80355,NA,NA,NA
641,-7954805.54136,1933605.80355,NA,NA,NA
642,-7854805.54136,1933605.80355,NA,NA,NA
643,-7754805.54136,1933605.80355,NA,NA,NA
644,-7654805.54136,1933605.80355,NA,NA,NA
645,-7554805.54136,1933605.80355,NA,NA,NA
646,-7454805.54136,1933605.80355,NA,NA,NA
647,-7354805.54136,1933605.80355,NA,NA,NA
648,-7254805.54136,1933605.80355,NA,NA,NA
649,-7154805.54136,1933605.80355,NA,NA,NA
650,-7054805.54136,1933605.80355,NA,NA,NA
651,-6954805.54136,1933605.80355,NA,NA,NA
652,-6854805.54136,1933605.80355,NA,NA,NA
653,-6754805.54136,1933605.80355,NA,NA,NA
654,-6654805.54136,1933605.80355,NA,NA,NA
655,-6554805.54136,1933605.80355,NA,NA,NA
656,-6454805.54136,1933605.80355,NA,NA,NA
657,-6354805.54136,1933605.80355,NA,NA,NA
658,-6254805.54136,1933605.80355,NA,NA,NA
659,-6154805.54136,1933605.80355,NA,NA,NA
660,-6054805.54136,1933605.80355,NA,NA,NA
661,-5954805.54136,1933605.80355,NA,NA,NA
662,-5854805.54136,1933605.80355,NA,NA,NA
663,-5754805.54136,1933605.80355,NA,NA,NA
664,-5654805.54136,1933605.80355,NA,NA,NA
665,-5554805.54136,1933605.80355,NA,NA,NA
666,-5454805.54136,1933605.80355,NA,NA,NA
667,-5354805.54136,1933605.80355,NA,NA,NA
668,-5254805.54136,1933605.80355,NA,NA,NA
669,-5154805.54136,1933605.80355,NA,NA,NA
670,-5054805.54136,1933605.80355,NA,NA,NA
671,-4954805.54136,1933605.80355,NA,NA,NA
672,-4854805.54136,1933605.80355,NA,NA,NA
673,-10354805.5414,1833605.80355,NA,NA,NA
674,-10254805.5414,1833605.80355,NA,NA,NA
675,-10154805.5414,1833605.80355,NA,NA,NA
676,-10054805.5414,1833605.80355,NA,NA,NA
677,-9954805.54136,1833605.80355,NA,NA,NA
678,-9854805.54136,1833605.80355,NA,NA,NA
679,-9754805.54136,1833605.80355,NA,NA,NA
680,-9654805.54136,1833605.80355,NA,NA,NA
681,-9554805.54136,1833605.80355,NA,NA,NA
682,-9454805.54136,1833605.80355,NA,NA,NA
