cell	longitude	latitude	richness	npp_AVG	temp_AVG	prec_AVG	tempsea_AVG	presea_AVG	ele_RANGE
5586	-70.8	12.2	121	6.02E+11	274.579646	1222.209362	381.1127154	51.24080112	886
5587	-69.8	12.2	122	4.92E+11	230.3217748	989.3211634	470.8432177	49.04838851	3420
5588	-68.8	12.2	120	5.29E+11	236.4362826	1025.760765	492.856756	62.34317408	2066
5589	-67.8	12.2	121	6.37E+11	244.2369639	1340.673683	557.3311206	69.61708446	1634
5590	-66.8	12.2	118	6.09E+11	243.8583282	1174.05162	692.8272338	75.756922	1591
5591	-65.8	12.2	119	8.20E+11	254.0446233	1216.958002	615.8863418	69.49208155	1455
5592	-64.8	12.2	119	5.34E+11	263.8113968	942.002506	542.2847026	74.21486163	939
5593	-63.8	12.2	118	5.73E+11	238.9106483	1149.969976	500.8152556	68.05229465	2446
5594	-62.8	12.2	121	7.54E+11	255.033278	1378.147873	614.9063674	54.4176784	2196
5595	-61.8	12.2	121	5.53E+11	265.3501545	1572.807673	607.6844748	45.97257981	63
5596	-60.8	12.2	119	4.97E+11	260.8704529	1795.530627	617.5494015	42.14503638	218
5657	-83.8	11.2	82	63939862528	248.8381839	3453.352736	709.9511059	63.07683353	1665
5658	-82.8	11.2	97	3.62E+11	209.7790382	3221.746039	644.8704415	59.86725415	3746
5659	-81.8	11.2	94	4.39E+11	224.6537698	3018.198165	528.0455109	39.79203869	3293
5660	-80.8	11.2	85	3.98E+11	251.5862327	3082.715301	501.3928171	45.29704452	1453
5661	-79.8	11.2	89	5.73E+11	262.9136759	2969.978113	635.5494834	51.55029908	1054
5662	-78.8	11.2	87	5.31E+11	256.4568452	2521.587392	544.6347403	61.59875541	946
5663	-77.8	11.2	92	6.49E+11	256.515661	2026.040534	392.6220636	61.79617688	1286
5664	-76.8	11.2	94	64797908992	255.530343	1834.237467	339.6200528	50.40897098	679
5665	-75.8	11.2	110	3.24E+11	271.5537111	1363.227454	348.7709497	60.20031923	270
5666	-74.8	11.2	111	6.25E+11	275.0765504	1463.234232	476.3598485	62.64129669	343
5667	-73.8	11.2	116	7.64E+11	280.2487554	2028.142895	437.886977	62.96252948	532
5668	-72.8	11.2	123	9.29E+11	252.7966635	2480.630797	453.1568696	49.98174513	2789
5669	-71.8	11.2	124	7.55E+11	285.4447834	1741.819324	511.7709698	45.48021889	204
5670	-70.8	11.2	126	4.13E+11	197.1735276	1122.314511	423.379235	39.76867031	4613
5671	-69.8	11.2	124	5.07E+11	222.4852826	1455.578741	403.3835269	58.78347454	3648
5672	-68.8	11.2	121	6.04E+11	272.7030308	1543.49952	622.7537776	74.47427723	1749
5673	-67.8	11.2	115	6.43E+11	272.3676304	1344.485195	798.5400472	78.2751332	344
5674	-66.8	11.2	118	5.65E+11	271.6086995	1202.704952	815.3052668	81.68093283	170
5675	-65.8	11.2	120	5.38E+11	266.4723557	994.7391039	574.328413	85.88400734	289
5676	-64.8	11.2	119	6.60E+11	268.941829	1098.115818	534.9104725	77.86889685	249
5677	-63.8	11.2	120	4.70E+11	263.3991615	1001.856145	540.5670364	74.51838589	318
5678	-62.8	11.2	121	3.90E+11	266.8005066	1076.579789	592.2445628	61.6778758	202
5679	-61.8	11.2	122	7.24E+11	263.9467202	1361.493755	612.0587824	47.51690104	69
5680	-60.8	11.2	120	8.01E+11	261.979504	1997.726583	560.4768395	40.26901004	36
5742	-82.8	10.2	75	4.23E+11	257.5688591	3434.638121	736.165906	60.09610738	896
5743	-81.8	10.2	88	3.67E+11	247.3372362	3111.219073	604.5600062	59.61315668	2358
5744	-80.8	10.2	89	4.82E+11	248.6113105	2739.180338	546.1094283	67.65875864	2079
5745	-79.8	10.2	88	4.00E+11	265.1417243	1817.685238	632.0778772	71.45404636	1312
5747	-77.8	10.2	93	5.85E+11	261.1183317	2043.205019	485.0322502	62.25691077	1436
5748	-76.8	10.2	125	6.60E+11	251.8480375	2239.799063	320.9804335	44.24827182	1745
